trade_date,open,high,low,close,pre_close,pct_chg,vol,amount,adj_factor,change
20250701,401.6094,401.6094,375.9791,377.5483,403.3664,,104237.9,5924880.801,1.0,-25.8181
20250702,375.684,375.684,363.4053,365.5445,377.5483,-3.1794,64098.04,3509933.369,1.0,-12.0038
20250703,366.1481,371.2446,364.8069,367.0198,365.5445,0.4036,39722.89,2173734.826,1.0,1.4753
20250704,365.4775,374.1752,361.2326,367.1339,367.0198,0.0311,56859.33,3111587.176,1.0,0.114
20250707,364.8069,371.419,362.8018,363.0499,367.1339,-1.1124,33310.55,1810291.915,1.0,-4.084
20250708,362.1245,365.6786,360.8503,363.982,363.0499,0.2568,39527.81,2143484.029,1.0,0.9321
20250709,364.8069,365.3299,357.7656,358.7715,363.982,-1.4315,49069.59,2643083.782,1.0,-5.2106
20250710,358.1076,360.6961,349.1617,351.0595,358.7715,-2.1495,85815.16,4522151.657,1.0,-7.7119
20250711,350.7242,375.5097,350.7242,371.4995,351.0595,5.8223,116436.72,6359225.561,1.0,20.4399
20250714,372.1835,382.2425,371.5129,378.9297,371.4995,2.0001,65114.93,3678055.659,1.0,7.4303
20250715,378.2189,378.2189,366.6577,370.9093,378.9297,-2.1166,59685.89,3309396.823,1.0,-8.0204
20250716,367.5496,397.7334,367.5496,389.0759,370.9093,4.8978,97122.72,5629778.216,1.0,18.1666
20250717,385.5955,392.2948,375.0201,390.5579,389.0759,0.3809,79737.17,4557378.595,1.0,1.482
20250718,389.3173,395.6411,387.6274,390.7055,390.5579,0.0378,51156.45,2984533.701,1.0,0.1475
20250721,393.6427,402.0722,389.0021,390.2897,390.7055,-0.1064,59576.41,3509550.816,1.0,-0.4158
20250722,390.2226,403.0915,389.0156,398.29,390.2897,2.0498,65632.2,3894927.712,1.0,8.0003
20250723,397.8004,404.3723,393.3275,399.383,398.29,0.2744,54486.53,3236985.175,1.0,1.0931
20250724,396.6604,405.68,396.6604,402.5148,399.383,0.7841,49166.21,2941834.944,1.0,3.1317
20250725,402.0453,468.0861,402.0453,451.5156,402.5148,12.1737,127392.73,8133258.858,1.0,49.0008
20250728,451.3144,461.8428,438.5864,455.338,451.5156,0.8466,95079.83,6379660.931,1.0,3.8224
20250729,453.3262,481.4914,451.3144,476.6497,455.338,4.6804,114103.81,7988279.23,1.0,21.3117
20250730,469.4206,474.7854,456.0086,459.1604,476.6497,-3.6692,76531.96,5304272.237,1.0,-17.4893
20250731,459.3616,492.8916,456.0153,475.7913,459.1604,3.622,117690.78,8333907.585,1.0,16.6309
20250801,469.4206,480.1502,456.0086,462.1111,475.7913,-2.8753,71835.98,4998268.095,1.0,-13.6803
20250804,461.0917,469.3871,452.7696,462.0842,462.1111,-0.0058,57761.09,3987683.051,1.0,-0.0268
20250805,460.0322,469.3535,457.7387,466.0676,462.0842,0.862,48788.23,3379825.557,1.0,3.9834
20250806,463.9619,466.9997,459.3616,465.625,466.0676,-0.095,43399.78,2997970.928,1.0,-0.4426
20250807,469.7626,490.2092,460.0389,471.4324,465.625,1.2472,108244.28,7687346.63,1.0,5.8074
20250808,463.3852,471.3855,449.3026,464.5923,471.4324,-1.4509,65253.31,4496880.601,1.0,-6.8401
20250811,464.3911,477.3337,463.1237,474.383,464.5923,2.1074,55594.27,3916076.012,1.0,9.7908
20250812,471.0971,569.2597,466.7784,569.2597,474.383,20.0,191621.93,15126074.903,1.0,94.8766
20250813,556.5987,582.0815,549.8927,576.7167,569.2597,1.31,134683.86,11355310.256,1.0,7.4571
20250814,580.0697,660.5418,580.0697,636.4002,576.7167,10.3488,150710.68,14035314.03,1.0,59.6835
20250815,618.9646,627.0118,606.7664,619.434,636.4002,-2.666,110398.69,10171678.36,1.0,-16.9662
20250818,637.2586,662.5469,620.6143,637.0708,619.434,2.8472,115423.02,11085893.402,1.0,17.6368
20250819,629.6942,671.3385,622.2639,626.3278,637.0708,-1.6863,105469.57,10074664.704,1.0,-10.743
20250820,617.0266,688.7071,603.5408,679.3187,626.3278,8.4606,127059.5,12383503.093,1.0,52.9909
20250821,684.0129,724.3696,674.3361,694.7425,679.3187,2.2705,114027.97,11930000.15,1.0,15.4238
20250822,720.8959,833.691,720.8959,833.691,694.7425,20.0,141160.82,16488719.338,1.0,138.9485
20250825,885.8637,932.8058,848.9807,928.7352,833.691,11.4004,187639.05,24989985.4,1.0,95.0443
20250826,878.4871,903.97,864.4112,891.2285,928.7352,-4.0385,118132.28,15643165.298,1.0,-37.5067
20250827,924.6781,982.4168,899.2892,920.1314,891.2285,3.243,178950.9,25003097.032,1.0,28.9029
20250828,952.2532,1070.1985,932.8058,1064.8538,920.1314,15.7284,178270.45,26023907.975,1.0,144.7224
20250829,992.4893,1029.3522,952.2532,1000.8651,1064.8538,-6.0092,178637.73,26507283.491,1.0,-63.9887
20250901,979.0773,1011.6685,911.1789,971.2916,1000.8651,-2.9548,175381.16,25070934.112,1.0,-29.5735
20250902,973.0418,1032.7253,959.6298,992.4893,971.2916,2.1824,173376.45,25731181.437,1.0,21.1977
20250903,951.5826,964.9946,919.3938,942.1942,992.4893,-5.0676,141492.06,19901150.24,1.0,-50.2951
20250904,922.0762,931.4646,792.6502,806.0622,942.1942,-14.4484,221653.87,28013149.023,1.0,-136.132
20250905,818.133,878.5877,785.9442,859.3482,806.0622,6.6106,200038.78,24705957.244,1.0,53.2859
20250908,834.8981,843.6092,793.3208,813.2913,859.3482,-5.3595,140728.03,17136817.058,1.0,-46.0569
20250909,791.3157,849.6513,791.3157,823.5448,813.2913,1.2607,103581.54,12767436.237,1.0,10.2535
20250910,850.3219,888.5461,829.3857,853.6749,823.5448,3.6586,138585.37,17662160.171,1.0,30.1301
20250911,868.4281,963.298,855.6867,930.1234,853.6749,8.9552,190932.43,25996861.983,1.0,76.4485
20250912,930.1234,1020.802,920.0644,997.8541,930.1234,7.2819,197411.49,28695031.003,1.0,67.7307
20250915,1009.2543,1025.617,946.2849,965.6652,997.8541,-3.2258,114491.32,16564077.105,1.0,-32.1888
20250916,984.4421,1024.6781,957.9734,965.7323,965.6652,0.0069,136802.74,20074698.247,1.0,0.0671
